"138","Svarupa Damodara's Diary","SDDIA"
"139","Svarupa Damodara's Kadaca","SDKAD"
"140","Svetasvatara Upanishad","SVUP"
"141","Taittiriya Upanishad","TAUP"
"142","Tattva Sandarbha","TATS"
"143","Thakura Vaishnava Pada","TVP"
"144","Tri Bhangi Pancakam","TBP"
"145","Ujjvala Nilamani","UNIL"
"146","Uttara Gopala Tapani Upanishad","UGTU"
"147","Vaishnava Tantra","VATN"
"148","Vaishvanara Samhita","VSHS"
"149","Vamana Kalpa","VAMK"
"150","Varaha Purana","VARP"
"151","Vedanta Sutra","VEDS"
"152","Vidagdha Madhava","VDMAD"
"153","Vishnu Purana","VISP"
"154","Vishnu Yamala","VISY"
"155","Vraja Vilasa Stava","VVST"
"156","Vrinda Devi Astakam","VDAST"
"157","Vrindavana Mahimamrita","VRMA"
"158","Yamuna Stotram","YSTOT"
"159","Yamunastakam","YAST"
